Business Name,EIN,Entity Type,Industry,SIC Code,Website,State,Formation Year,Years in Business,Loan Amount,Creditworthiness,Owner 1 Name,Owner 1 SSN,Owner 1 Ownership %,Owner 1 Phone,Owner 1 Email,Owner 2 Name,Owner 2 SSN,Owner 2 Ownership %,Owner 2 Phone,Owner 2 Email,Folder Name,Document Count
Sunrise Bakery LLC,48-3865685,LLC,Retail Bakery,5461,www.sunrisebakeryco.com,CA,2014,10,"$250,000",EXCELLENT,Maria Rodriguez,174-14-2873,60%,555-234-5678,maria@sunrisebakery.com,Carlos Martinez,250-80-9732,40%,555-234-5679,carlos@sunrisebakery.com,sunrise_bakery_llc,16
TechFix Computer Repair Inc,12-7801944,LLC,Computer Repair Services,7378,www.techfixrepair.com,TX,2018,6,"$150,000",GOOD,David Chen,846-71-3875,100%,555-445-7890,david@techfixrepair.com,,,,,,techfix_computer_repair_inc,12
Green Thumb Landscaping Services,14-3284136,S-Corp,Landscaping Services,0782,www.greenthumblandscape.com,FL,2018,6,"$300,000",GOOD,Robert Johnson,828-93-5039,75%,555-678-9012,robert@greenthumb.com,Lisa Johnson,774-87-2943,25%,555-678-9013,lisa@greenthumb.com,green_thumb_landscaping_services,16
Downtown Diner LLC,65-5120387,S-Corp,Restaurant,5812,www.downtowndiner.com,NY,2020,4,"$400,000",OK,Sarah Williams,121-47-2616,100%,555-789-0123,sarah@downtowndiner.com,,,,,,downtown_diner_llc,12
AutoCare Collision Center,59-9839976,Sole Proprietorship,Auto Body Repair,7532,www.autocarecollision.com,OH,2017,7,"$500,000",EXCELLENT,Michael Thompson,130-95-7079,100%,555-890-1234,michael@autocare.com,,,,,,autocare_collision_center,12
Bright Minds Daycare Center,49-8201183,S-Corp,Child Care Services,8351,www.brightmindsdaycare.com,GA,2015,9,"$200,000",GOOD,Jennifer Davis,582-31-8722,80%,555-901-2345,jennifer@brightminds.com,Amanda Wilson,989-24-5615,20%,555-901-2346,amanda@brightminds.com,bright_minds_daycare_center,16
Urban Fitness Studio,71-8724870,LLC,Fitness Center,7991,www.urbanfitnessstudio.com,WA,2014,10,"$350,000",OK,James Anderson,397-15-4167,100%,555-012-3456,james@urbanfitness.com,,,,,,urban_fitness_studio,12
Coastal Seafood Market,89-4014196,Sole Proprietorship,Seafood Retail,5421,www.coastalseafoodmarket.com,MA,2017,7,"$275,000",BAD,Patricia Moore,159-93-9934,100%,555-123-4567,patricia@coastalseafood.com,,,,,,coastal_seafood_market,12
Premier Plumbing Solutions LLC,64-6831782,S-Corp,Plumbing Services,1711,www.premierplumbingsolutions.com,AZ,2019,5,"$180,000",EXCELLENT,Thomas Jackson,392-54-9415,100%,555-234-5670,thomas@premierplumbing.com,,,,,,premier_plumbing_solutions_llc,12
Elegant Events Catering,96-2629236,S-Corp,Catering Services,5812,www.elegantevents.com,IL,2014,10,"$225,000",GOOD,Michelle White,569-73-9339,70%,555-345-6781,michelle@elegantevents.com,Daniel White,989-52-3081,30%,555-345-6782,daniel@elegantevents.com,elegant_events_catering,16
QuickPrint Copy Center,35-8892164,Sole Proprietorship,Printing Services,2752,www.quickprintcopy.com,NC,2017,7,"$175,000",OK,Christopher Harris,971-91-7718,100%,555-456-7892,chris@quickprint.com,,,,,,quickprint_copy_center,12
Paws & Claws Pet Grooming,95-6901142,Sole Proprietorship,Pet Grooming Services,0752,www.pawsandclawsgrooming.com,CO,2014,10,"$125,000",BAD,Emily Taylor,739-44-9607,100%,555-567-8903,emily@pawsandclaws.com,,,,,,paws_and_claws_pet_grooming,12
Mountain View HVAC Services,47-8992746,S-Corp,HVAC Services,1711,www.mountainviewhvac.com,UT,2021,3,"$320,000",GOOD,William Brown,737-35-5285,100%,555-678-9014,william@mountainviewhvac.com,,,,,,mountain_view_hvac_services,12
Sunset Yoga & Wellness,32-4536842,S-Corp,Yoga Studio,7991,www.sunsetyogawellness.com,OR,2014,10,"$150,000",UGLY,Jessica Martinez,351-95-5842,100%,555-789-0125,jessica@sunsetyoga.com,,,,,,sunset_yoga_and_wellness,12
Heritage Furniture Restoration,93-5704691,Sole Proprietorship,Furniture Repair,7641,www.heritagefurniture.com,PA,2014,10,"$200,000",OK,Richard Lee,248-14-9065,100%,555-890-1236,richard@heritagefurniture.com,,,,,,heritage_furniture_restoration,12
Fresh Start Laundromat,75-9588286,Sole Proprietorship,Laundry Services,7215,www.freshstartlaundry.com,NV,2014,10,"$280,000",BAD,Angela Garcia,421-48-4288,100%,555-901-2347,angela@freshstart.com,,,,,,fresh_start_laundromat,12
Precision Dental Lab Inc,70-4465983,S-Corp,Dental Laboratory,8072,www.precisiondentallab.com,NJ,2014,10,"$450,000",EXCELLENT,Dr. Steven Kim,440-20-1347,65%,555-012-3458,steven@precisiondentallab.com,Dr. Linda Park,369-87-4601,35%,555-012-3459,linda@precisiondentallab.com,precision_dental_lab_inc,16
Rustic Brew Coffee House,51-4917081,Sole Proprietorship,Coffee Shop,5812,www.rusticbrewcoffee.com,MI,2020,4,"$190,000",UGLY,Kevin Murphy,849-48-4256,100%,555-123-4568,kevin@rusticbrew.com,,,,,,rustic_brew_coffee_house,12
Elite Security Systems LLC,39-2761098,LLC,Security Services,7382,www.elitesecuritysystems.com,VA,2016,8,"$375,000",GOOD,Mark Robinson,253-32-3309,100%,555-234-5671,mark@elitesecurity.com,,,,,,elite_security_systems_llc,12
Sparkle Clean Janitorial Services,83-9752099,S-Corp,Janitorial Services,7349,www.sparklecleanjanitorial.com,TN,2021,3,"$160,000",BAD,Sandra Lewis,942-72-4066,100%,555-345-6783,sandra@sparkleclean.com,,,,,,sparkle_clean_janitorial_services,12
